model,auroc,accuracy,f1
AdaBoost,0.45824017263684597,0.40130077912973694,0.3350315796682893
Bagging,0.463155624218104,0.3952603764543859,0.31347653223437016
CatBoost,0.4631625346911519,0.3986889162459546,0.3274007091181174
GradientBoosting,0.4588293663276491,0.4038015056554883,0.34378961251761203
LightGBM,0.4629441897751372,0.3987655384328625,0.3283677370282616
RandomForest,0.46308692229311155,0.39578212356110115,0.3191365616425421
XGBoost,0.4641674634321747,0.39957188968808155,0.3276571360658666
