model,auroc,accuracy,f1
AdaBoost,0.47881714445217227,0.4238552847563855,0.4523798746028493
Bagging,0.7853650938408449,0.6837509230218881,0.739478169189399
CatBoost,0.8347121287903995,0.7664888771048126,0.8124252797554128
GradientBoosting,0.6476614636360752,0.5451106114666651,0.5982465659603351
LightGBM,0.8019286666036697,0.70098816738804,0.7495927853714481
RandomForest,0.7855776753615099,0.6769707659088517,0.7326127139211688
XGBoost,0.7045347198326435,0.5913829608665394,0.6392854890669245
