model,auroc,accuracy,f1
AdaBoost,0.5571735273354942,0.5236781007200824,0.40483251527483155
Bagging,0.7439732883215363,0.6525950061679752,0.5253282602204906
CatBoost,0.6471442135285057,0.5721642934848071,0.4631365955764073
GradientBoosting,0.5541098363414613,0.5225650757687906,0.39991531055089014
LightGBM,0.5973333210643927,0.536475849859398,0.4113370064254039
RandomForest,0.7839267153377082,0.6681011368347767,0.5554847741019917
XGBoost,0.6316501219995659,0.5604239194472614,0.4478480190941332
