model,auroc,accuracy,f1
AdaBoost,0.4581692849294272,0.4134779253948695,0.4075717902066103
Bagging,0.4626687883645057,0.40237462787162315,0.34159184242430163
CatBoost,0.4625879347048662,0.40538303971513495,0.35281724786229657
GradientBoosting,0.45821649406913734,0.41492066723109927,0.37919913812788647
LightGBM,0.46217435345053515,0.40587978985009965,0.3553897744091883
RandomForest,0.4625683938760243,0.40289637497833836,0.3464843880860881
XGBoost,0.46357376394208494,0.4066861411053188,0.35445327752672107
