model,auroc,accuracy,f1
AdaBoost,0.5612186897583517,0.5509216735046601,0.36522876497996626
Bagging,0.7181547541260493,0.6435087358695725,0.4486684519128674
CatBoost,0.6333985696704219,0.5773400284411335,0.40130879778735823
GradientBoosting,0.5718103600898817,0.563359586545905,0.3628799436586083
LightGBM,0.5992804156236041,0.5751993910555226,0.3734452745613915
RandomForest,0.7513984345979143,0.6500220052792614,0.47415976826958706
XGBoost,0.6184768656669379,0.5703916167174872,0.3840320603968283
