model,auroc,accuracy,f1
AdaBoost,0.40791563584316887,0.4707714473497221,0.20126667362096304
Bagging,0.5995893262016165,0.5450864614652438,0.1593276991734021
CatBoost,0.4676291610896366,0.4366450266334693,0.18351250611506204
GradientBoosting,0.4393229014111549,0.4324036902549796,0.19051925764447225
LightGBM,0.4449851105542893,0.43667437231585193,0.1852928099427129
RandomForest,0.592188668169729,0.5112976887049345,0.16996360531937266
XGBoost,0.47481468307639074,0.44167052850050853,0.18474761816379104
