iter	Passed	Remaining
412	3856	5481
413	3867	5474
414	3877	5466
415	3886	5455
416	3895	5445
417	3903	5435
418	3913	5427
419	3922	5416
420	3932	5408
421	3941	5398
422	3949	5387
423	3958	5378
424	3968	5369
425	3977	5359
426	3986	5350
427	3995	5340
428	4005	5331
429	4014	5321
430	4024	5312
431	4033	5303
432	4042	5293
433	4051	5283
434	4060	5274
435	4070	5265
436	4079	5255
437	4089	5246
438	4098	5237
439	4108	5229
440	4117	5218
441	4127	5210
442	4136	5201
443	4147	5194
444	4157	5184
445	4166	5175
446	4176	5166
447	4185	5156
448	4194	5146
449	4202	5136
450	4212	5127
451	4220	5116
452	4230	5107
453	4240	5099
454	4250	5090
455	4258	5079
456	4267	5070
457	4277	5061
458	4286	5051
459	4294	5041
460	4305	5033
461	4314	5024
462	4322	5013
463	4332	5005
464	4342	4996
465	4350	4985
466	4360	4977
467	4370	4967
468	4379	4958
469	4390	4950
470	4398	4940
471	4408	4931
472	4417	4922
473	4428	4913
474	4437	4905
475	4446	4895
476	4456	4885
477	4465	4876
478	4475	4868
479	4485	4859
480	4495	4850
481	4504	4840
482	4514	4832
483	4523	4823
484	4533	4814
485	4543	4805
486	4552	4795
487	4562	4787
488	4573	4779
489	4581	4768
490	4591	4759
491	4600	4749
492	4609	4740
493	4618	4730
494	4627	4720
495	4636	4711
496	4646	4702
497	4655	4693
498	4665	4683
499	4674	4674
500	4682	4664
501	4691	4654
502	4701	4645
503	4710	4635
504	4720	4627
505	4731	4618
506	4741	4610
507	4750	4600
508	4759	4591
509	4768	4581
510	4777	4571
511	4787	4563
512	4796	4553
513	4806	4544
514	4815	4535
515	4825	4526
516	4835	4517
517	4844	4507
518	4852	4497
519	4862	4488
520	4871	4479
521	4881	4470
522	4891	4460
523	4900	4451
524	4910	4443
525	4921	4434
526	4929	4424
527	4940	4416
528	4949	4406
529	4959	4398
530	4968	4388
531	4977	4378
532	4986	4369
533	4995	4359
534	5004	4349
535	5014	4340
536	5025	4332
537	5033	4322
538	5043	4314
539	5053	4304
540	5063	4296
541	5072	4286
542	5082	4277
543	5091	4267
544	5101	4258
545	5110	4249
546	5119	4239
547	5129	4231
548	5139	4222
549	5147	4211
550	5158	4203
551	5167	4193
552	5177	4184
553	5185	4174
554	5195	4165
555	5204	4156
556	5213	4146
557	5222	4136
558	5232	4127
559	5240	4117
560	5250	4108
561	5261	4100
562	5271	4092
563	5283	4084
564	5293	4075
565	5302	4066
566	5313	4057
567	5323	4048
568	5334	4040
569	5344	4031
570	5357	4024
571	5368	4016
572	5378	4008
573	5390	4000
574	5402	3993
575	5412	3983
576	5421	3974
577	5432	3966
578	5442	3957
579	5451	3947
580	5462	3939
581	5473	3930
582	5483	3921
583	5493	3912
584	5502	3903
585	5511	3893
586	5520	3884
587	5530	3875
588	5539	3865
589	5550	3856
590	5559	3847
591	5568	3837
592	5577	3828
593	5586	3818
594	5595	3808
595	5604	3799
596	5614	3790
597	5625	3781
598	5633	3771
599	5642	3761
600	5651	3752
601	5661	3742
602	5670	3733
603	5679	3723
604	5687	3713
605	5697	3704
606	5706	3694
607	5715	3685
608	5724	3675
609	5735	3666
610	5746	3658
611	5756	3649
612	5765	3640
613	5776	3631
614	5786	3622
615	5797	3614
616	5807	3604
617	5815	3594
618	5825	3585
619	5835	3576
620	5845	3567
621	5855	3558
622	5865	3549
623	5874	3539
624	5883	3530
625	5892	3520
626	5901	3510
627	5910	3501
628	5920	3492
629	5930	3482
630	5941	3474
631	5950	3465
632	5959	3455
633	5970	3446
634	5981	3438
635	5989	3428
636	5998	3418
637	6008	3409
638	6018	3399
639	6030	3392
640	6040	3383
641	6050	3373
642	6060	3364
643	6070	3355
644	6080	3346
645	6090	3337
646	6099	3328
647	6109	3318
648	6118	3309
649	6129	3300
650	6137	3290
651	6146	3280
652	6156	3271
653	6166	3262
654	6175	3252
655	6185	3243
656	6196	3234
657	6205	3225
658	6215	3216
659	6224	3206
660	6233	3197
661	6242	3187
662	6251	3177
663	6260	3167
664	6269	3158
665	6279	3149
666	6289	3140
667	6298	3130
668	6308	3121
669	6317	3111
670	6327	3102
671	6336	3092
672	6346	3083
673	6355	3074
674	6363	3064
675	6372	3054
676	6381	3044
677	6391	3035
678	6400	3025
679	6409	3016
680	6418	3006
681	6427	2997
682	6437	2987
683	6446	2978
684	6455	2968
685	6464	2959
686	6473	2949
687	6482	2939
688	6493	2930
689	6502	2921
690	6510	2911
691	6520	2902
692	6530	2893
693	6539	2883
694	6549	2874
695	6558	2864
696	6567	2855
697	6577	2845
698	6587	2836
699	6596	2827
700	6605	2817
701	6615	2808
702	6624	2798
703	6632	2788
704	6641	2779
705	6651	2769
706	6660	2760
707	6670	2751
708	6681	2742
709	6690	2732
710	6699	2723
711	6709	2713
712	6719	2704
713	6729	2695
714	6737	2685
715	6748	2676
716	6758	2667
717	6767	2658
718	6777	2648
719	6786	2639
720	6795	2629
721	6804	2619
722	6813	2610
723	6822	2600
724	6831	2591
725	6841	2582
726	6850	2572
727	6860	2563
728	6869	2553
729	6879	2544
730	6889	2535
731	6899	2526
732	6909	2516
733	6920	2507
734	6931	2498
735	6941	2489
736	6950	2480
737	6960	2471
738	6969	2461
739	6979	2452
740	6988	2442
741	6997	2433
742	7007	2423
743	7016	2414
744	7025	2404
745	7035	2395
746	7044	2385
747	7054	2376
748	7063	2367
749	7072	2357
750	7081	2347
751	7090	2338
752	7099	2328
753	7108	2319
754	7118	2310
755	7127	2300
756	7135	2290
757	7145	2281
758	7155	2272
759	7164	2262
760	7173	2252
761	7182	2243
762	7190	2233
763	7200	2224
764	7210	2214
765	7219	2205
766	7227	2195
767	7236	2186
768	7245	2176
769	7254	2166
770	7264	2157
771	7273	2148
772	7282	2138
773	7292	2129
774	7302	2120
775	7312	2110
776	7323	2101
777	7331	2091
778	7341	2082
779	7350	2073
780	7359	2063
781	7368	2054
782	7377	2044
783	7388	2035
784	7397	2026
785	7408	2017
786	7418	2007
787	7429	1998
788	7439	1989
789	7448	1979
790	7458	1970
791	7469	1961
792	7479	1952
793	7491	1943
794	7502	1934
795	7514	1925
796	7524	1916
797	7533	1907
798	7547	1898
799	7558	1889
800	7568	1880
801	7578	1871
802	7587	1861
803	7598	1852
804	7608	1842
805	7616	1833
806	7626	1823
807	7638	1815
808	7647	1805
809	7657	1796
810	7667	1786
811	7676	1777
812	7686	1767
813	7695	1758
814	7704	1748
815	7713	1739
816	7722	1729
817	7731	1720
818	7740	1710
819	7750	1701
820	7759	1691
821	7769	1682
822	7779	1673
823	7788	1663
824	7798	1654
825	7808	1644
826	7817	1635
827	7826	1625
828	7834	1616
829	7844	1606
830	7852	1596
831	7860	1587
832	7869	1577
833	7878	1568
834	7888	1558
835	7898	1549
836	7907	1539
837	7916	1530
838	7926	1520
839	7936	1511
840	7945	1502
841	7954	1492
842	7964	1483
843	7972	1473
844	7982	1464
845	7992	1454
846	8003	1445
847	8013	1436
848	8022	1426
849	8032	1417
850	8041	1407
851	8051	1398
852	8060	1389
853	8070	1379
854	8079	1370
855	8089	1360
856	8098	1351
857	8107	1341
858	8117	1332
859	8126	1322
860	8137	1313
861	8147	1304
862	8156	1294
863	8167	1285
864	8177	1276
865	8188	1266
866	8197	1257
867	8206	1247
868	8215	1238
869	8224	1229
870	8234	1219
871	8244	1210
872	8254	1200
873	8263	1191
874	8272	1181
875	8282	1172
876	8290	1162
877	8299	1153
878	8310	1143
879	8320	1134
880	8329	1125
881	8338	1115
882	8348	1106
883	8358	1096
884	8367	1087
885	8377	1077
886	8385	1068
887	8395	1058
888	8404	1049
889	8414	1039
890	8423	1030
891	8432	1021
892	8442	1011
893	8452	1002
894	8462	992
895	8473	983
896	8482	974
897	8492	964
898	8500	955
899	8510	945
900	8520	936
901	8530	926
902	8540	917
903	8550	907
904	8560	898
905	8568	889
906	8579	879
907	8588	870
908	8598	860
909	8608	851
910	8618	841
911	8628	832
912	8637	823
913	8646	813
914	8655	804
915	8665	794
916	8674	785
917	8684	775
918	8694	766
919	8703	756
920	8714	747
921	8723	738
922	8732	728
923	8742	719
924	8752	709
925	8761	700
926	8772	690
927	8780	681
928	8790	671
