model,auroc,accuracy,f1
AdaBoost,0.4662527231196975,0.4951337597852284,0.34306579394250686
Bagging,0.4950366388809669,0.5194015960919617,0.2936728184690618
CatBoost,0.49420914400229576,0.5269617164060635,0.17265424239003702
GradientBoosting,0.4729228356526865,0.5084305763191667,0.3469367891330067
LightGBM,0.49101654746563844,0.5205383108134601,0.24860105502625204
RandomForest,0.49213318459766037,0.5179181571735246,0.2905631805450273
XGBoost,0.4889449160625287,0.513215178520103,0.32981306723697523
